author_id,last_name,first_name,middle_name,birth_date
1,Булгаков,Михаил,Афанасьевич,1891-05-15
2,Толстой,Лев,Николаевич,1828-09-09
3,Достоевский,Фёдор,Михайлович,1821-11-11
4,Пушкин,Александр,Сергеевич,1799-06-06
5,Тургенев,Иван,Сергеевич,1818-11-09
6,Замятин,Евгений,Иванович,1884-02-01
7,Гоголь,Николай,Васильевич,1809-04-01
8,Чехов,Антон,Павлович,1860-01-29
9,Лермонтов,Михаил,Юрьевич,1814-10-15
10,Карамзин,Николай,Михайлович,1766-12-12
11,Маяковский,Владимир,Владимирович,1893-07-19
12,Стругацкий,Аркадий,Натанович,1925-08-28
13,Стругацкий,Борис,Натанович,1933-04-15
14,Беляев,Александр,Романович,1884-03-16
15,Верн,Жюль,,1828-02-08
