copy_id,book_id,receipt_id,arrival_date,condition_state,status,storage_location
1,1,1,2026-03-01,новое,доступен,Абонемент A-01
2,1,1,2026-03-01,новое,выдан,Абонемент A-01
3,1,1,2026-03-01,новое,доступен,Абонемент A-01
4,3,1,2026-03-01,новое,доступен,Абонемент A-02
5,3,1,2026-03-01,хорошее,забронирован,Абонемент A-02
6,11,1,2026-03-01,удовлетворительное,на реставрации,Фонд Х-03
7,4,2,2026-03-15,новое,выдан,Читальный зал B-01
8,4,2,2026-03-15,новое,доступен,Читальный зал B-01
9,5,2,2026-03-15,новое,доступен,Читальный зал B-02
10,5,2,2026-03-15,хорошее,выдан,Читальный зал B-02
11,6,2,2026-03-15,новое,доступен,Фонд C-01
12,6,2,2026-03-15,хорошее,доступен,Фонд C-01
13,7,3,2026-04-02,новое,доступен,Фонд C-02
14,7,3,2026-04-02,новое,выдан,Фонд C-02
15,8,3,2026-04-02,новое,доступен,Фонд D-01
16,8,3,2026-04-02,хорошее,доступен,Фонд D-01
17,9,3,2026-04-02,новое,доступен,Фонд D-02
18,10,4,2026-04-20,новое,выдан,Абонемент E-01
19,12,4,2026-04-20,новое,выдан,Абонемент E-02
20,12,4,2026-04-20,удовлетворительное,списан,Архив S-01
