issue_id,reader_id,copy_id,employee_id,issue_date,planned_return_date,actual_return_date,issue_status
1,1,1,1,2026-03-05,2026-03-19,2026-03-18,закрыта
2,2,2,2,2026-03-10,2026-03-24,,активна
3,3,4,1,2026-03-12,2026-03-26,2026-03-27,закрыта
4,4,7,3,2026-03-20,2026-04-03,,активна
5,5,8,4,2026-03-22,2026-04-05,2026-04-01,закрыта
6,6,10,2,2026-04-01,2026-04-15,,активна
7,7,13,5,2026-04-05,2026-04-19,2026-04-17,закрыта
8,8,14,6,2026-04-07,2026-04-21,,активна
9,9,16,1,2026-04-10,2026-04-24,2026-04-22,закрыта
10,10,18,7,2026-04-21,2026-05-05,,активна
11,11,19,8,2026-04-25,2026-05-09,,активна
12,12,1,2,2026-04-02,2026-04-16,2026-04-14,закрыта
